service_id,title,purpose_summary,category,org_name,org_type,applicant_type,support_type,support_desc,apply_method,apply_period,min_amount,max_amount,phone,detail_url,age_min,age_max,age_unit,age_note,age_restriction,income_type,income_percentage,income_amount,income_unit,income_note,income_restriction,target_age_group,target_employment,target_education,target_household,target_special,target_occupation,target_specific_conditions,target_note,selection_method,required_documents,evaluation_criteria,selection_specific_conditions,selection_note,residence_type,specific_regions,residence_duration,residence_duration_unit,residence_specific_conditions,residence_note
465790,유아학비 (누리과정) 지원,"유치원에 다니는 만 3~5세 아동에게 유아학비, 방과후과정비 등 지원",보육·교육,교육부,중앙행정기관,개인,현금(감면),"○ 3~5세에 대해 교육비를 지급합니다. - 국공립 100,000원, 사립 280,000원 ○ 3~5세에 대해 방과후과정비를 지급합니다. - 국공립 50,000원, 사립 70,000원 ○ 사립유치원을 다니는 법정저소득층 유아에게 저소득층 유아학비를 추가 지급합니다. - 사립 200,000원",기타 온라인신청||방문신청,상시신청,50000.0,280000.0,교육부/02-6222-6060||0079에듀콜/1544-0079-5-1,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/000000465790,3.0,5.0,세,,있음,,,,,,제한없음,,,,,"['기초생활수급자', '차상위계층', '한부모']",[],"국공립 및 사립유치원에 다니는 3~5세 유아, 22년 1~2월생으로 유치원 입학을 희망하여 3세반에 취원한 유아, 취학대상 아동이 취학을 유예하는 경우, 유예한 1년에 한하여 5세 유아 무상교육비 지원, 저소득층 유아","지원대상에서 제외: 대한민국 국적을 가지지 않은 유아, 가정 양육수당 및 어린이집 보육료를 지원 받고 있는 유아, 유치원 이용시간에 아이돌봄서비스 등과 중복지원 불가, 해외 체류 기간이 31일째 되는 날 유아학비 지원자격 중지. 자격 중지 후 유아학비를 다시 지원받기 위해서는 재신청 필요, 신청 누락으로 발생되는 지원금은 소급지원 되지 않음.",서류심사,[],[],"만 3~5세 아동, 5세 '19.1.1.~'19.12.31., 4세 '20.1.1.~'20.12.31., 3세 '21.1.1.~'22.2.28.","온라인 신청은 부모만 가능하며, 부모 이외의 보호자인 경우에는 읍면동 주민센터에서 신청해야 함.",전국,[],,,,
105100000001,근로·자녀장려금,"소득과 재산이 적은 근로소득자에게 근로장려금을, 자녀가 있을 경우 자녀장려금 지급",주거·자립,국세청,중앙행정기관,가구,현금,"○ 전년도 연간 부부합산 총 급여액 등(근로소득, 사업소득 또는 종교인소득의 합계)에 따라 - 근로장려금은 ㆍ 단독가구 최대 165만 원 ㆍ 홑벌이 가구 최대 285만 원 ㆍ 맞벌이 가구 최대 330만 원 지급 - 자녀 장려금은 ㆍ 단독가구 해당 없음 ㆍ 홑벌이 가구 부양자녀 1명 당 최대 100만 원 ㆍ 맞벌이 가구 부양자녀 1명 당 최대 100만 원 지급 * 자세한 산정식은 홈택스(www.hometax.go.kr)에서 확인 바랍니다",기타 온라인신청,○ 정기신청 : 5.1.~5.31.○ 반기신청 - 상반기분 신청 : 9.1.~9.15. - 하반기분 신청 : 3.1.~3.15.,1000000.0,3300000.0,해당지역 지자체(세무서)/관할 세무서,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/105100000001,18.0,70.0,세,,있음,기타,,100.0,만원,,있음,,취업자,,무관,[],"['근로소득', '사업소득', '종교인소득']","신청요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구로써 신청기간 내 신청하는 경우 근로소득, 사업소득 또는 종교인소득에 따라 산정한 근로장려금과 부양자녀수에 따라 산정한 자녀장려금을 지급",,서류심사,"['소득증명서', '재산증명서']","['총소득 기준금액', '재산 합계액']","근로소득, 사업소득 또는 종교인소득이 있는 가구 중 소득요건과 재산요건을 모두 충족하는 경우에 해당","대한민국 국적을 보유하지 않은 자, 다른 거주자의 부양자녀, 전문직 사업을 영위하는 자는 신청 불가",특정지역,['해당지역'],,,해당지역 지자체(세무서)/관할 세무서에 거주해야 함,
116010000001,주택금융공사 월세 자금보증,일정요건의 월세대출 대상자에게 월세자금보증을 지원,주거·자립,한국주택금융공사,공공기관,개인,상담/법률지원||현금(융자),○ 주택도시기금 주거안정 월세대출 요건을 충족하는 대상자에 대해 월세자금보증 지원 - 월세금을 2년간 환산한 금액의 90%를 지원,방문신청,주택도시기금 주거안정 월세대출 규정에 따름,,,주택금융공사/1688-8114,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/116010000001,35.0,35.0,세,,제한없음,,,,,,제한없음,,,,,[],[],보증금 1억 원 이하 및 월세금 60만 원 이하인 월세 계약을 체결한 주택도시 기금 주거안정 월세대출 대상자,,서류심사,[],[],무주택 세대주로서 특정 대상자에 해당하는 경우에만 지원,,전국,[],,,,
119200000001,친환경 에너지절감장비 보급,"연근해 어업인을 대상으로 노후기관, 장비, 설비를 대체 보급",농림축산어업,해양수산부,중앙행정기관,개인,현금,"○ 고효율 등(燈)(LED, 무전극등(燈) 등) ○ 노후화된 기관(디젤, 가솔린기관 등) ○ 에너지 절감이 가능한 유류절감장치 ○ 대기오염 방지 및 탄소배출 절감이 가능한 매연저감장치 등",방문신청,연초 모집공고에 따름,,,해양수산부 수산정책실 어선안전정책과/044-200-5528,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000001,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"어선의 기관, 고효율 등(燈)(집어등, 작업등) 외 에너지 절감 장비의 대체 또는 설치 희망하는 연근해 허가를 가진 어업인",,서류심사,"['사업계획서', '수요조사 결과']","['전자식 엔진 교체자 우선', '노후화 순으로 선정']","디젤 및 가솔린 지원 비율은 차년도 수요조사 결과에 따라 반영하여 배정, 노후화는 설치연도를 기준으로 판단, 동점자 발생 시 세부수립계획에 따라 선정","기관 교체 시 상위마력으로의 교체는 원칙적으로 불가하며, 단종된 마력의 10% 이하로 상위마력 설치 가능",전국,[],,,,
119200000007,해양사고 국선 심판변론인 선정 지원,해양사고를 입은 사회적 약자에게 국선 심판변론인 선정 및 법률자문 지원,행정·안전,해양수산부,중앙행정기관,개인,기타||상담/법률지원,○ 해양사고관련자가 심판원에 대하여 하는 신청ㆍ청구ㆍ진술 등의 대리 또는 대행 ○ 해양사고관련자에 대하여 하는 해양사고와 관련된 기술적 자문,방문신청,해당사건 접수후,,,해양수산부 중앙해양안전심판원/044-200-6117,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000007,70.0,,세,,있음,,60.0,,,,있음,,,,,['장애인'],,사회적 약자에 해당하는 해양사고관련자,,서류심사,[],[],"해양사고관련자가 미성년자이거나 70세 이상이거나 청각 또는 언어장애 및 심신장애의 의심이 있는 경우이거나 중위소득(4인가구 기준) 60%이하인 국민기초생활 수급권자이거나 교육정도가 고졸 이하인 경우이거나 국가유공자, 그유족 또는 가족인 경우",,전국,[],,,,
119200000008,옵서버 승선경비 지원,국제옵서버를 승선시킨 원양선사에 승선경비 및 활동 등을 지원,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금,○ 원양어선에 승선하여 활동하는 국제옵서버 승선경비 및 활동 지원,방문신청,수시,,,한국수산자원공단 TAC관리실/051-718-2482,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000008,,,,,제한없음,,,,,,제한없음,,,,,[],['원양선사'],국제옵서버를 승선시킨,,서류심사,[],[],국제옵서버를 승선시킨 원양선사에 대한 국제옵서버 승선경비 부담금 분담 방식,,전국,[],,,,
119200000010,합작수산물 관세 감면 추진,적법하게 채포한 수산물을 국내로 수입하는 자에게 관세감면,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금(감면),○ 관세감면,기타 온라인신청,수시,,,해양수산부/044-200-5364,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000010,,,,,제한없음,,,,,,제한없음,,,,,[],[],기획재정부령에서 정한 방법 또는 요건에 적합하게 채포한 수산물을 국내로 수입하는 자,,서류심사,[],[],기획재정부령에 적합하게 수입하는 자,,전국,[],,,,
119200000012,귀어 창업 및 주택구입 지원(융자),귀어업 지원자에 창업 및 주택구입 자금 지원 (융자 후 이자 차이를 지원),농림축산어업,해양수산부,중앙행정기관,개인,현금(융자),"○ 지원대상자로 선정된 자가 사업(일부완료 또는 완료) 후 담보(신용, 물건)를 제공하고, 금융기관(수협은행)에서 융자를 받으면, 해양수산부에서 이자 차이(기준금리-대출금리 1.5%)를 지원",방문신청,농어촌지역 전입일로부터 만 5년이내 신청 가능,,,해당지방자치단체 수산 총괄 부서/1899-9597||귀어귀촌 종합센터/1899-9597,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000012,65.0,65.0,세,,없음,,,,,,제한없음,중장년,무관,무관,무관,[],['어업인'],"귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자",,심사,[],[],시·도지사(시장·군수·구청장)가 심사를 거쳐 선발,,농어촌지역,[],5.0,년,전입일로부터 만 5년 이내,
119200000016,원양어업 경영자금 지원,원양어업을 허가받은 자 또는 해외합작 원양어업 신고자를 대상으로 원양어업경영자금 융자 지원,농림축산어업,해양수산부,중앙행정기관,개인||법인/시설/단체,현금,○ 어업경영자금 융자(수협은행 및 일선수협),방문신청,"매월 25일까지(단, 공급 규모 소진 시 조기마감 될 수 있음)",,,한국원양산업협회/02-589-1605,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000016,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자, 「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자",,서류심사,[],[],「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자 또는 「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자,,전국,[],,,,
119200000022,원양어선안전관리,원양어선 선사에게 노후 원양어선의 대체 및 건조 지원,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금,○ 원양어선의 안전성 확보와 어선원 복지 증진을 위해 안전펀드를 조성하여 노후 원양어선의 대체 및 건조를 지원,방문신청,공고에 따름,,,해양수산부 펀드관리기관/02-3210-2032,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000022,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],원양산업발전법 제6조에 따른 원양어업허가를 받은 자(원양어업허가의 유예를 받은 자 포함),,심의,[],"['원양어선 노후화 정도', '사업 계획']",투자심의위원회의 심의로 선정,,전국,[],,,,
119200000024,수산장비 구입 지원,"고가의 수산장비 구입 비용 지원 (융자한도액 2억원 내, 거래가격의 80%)",농림축산어업,해양수산부,중앙행정기관,개인||법인/시설/단체,현금(융자),융자한도액(2억원) 내에서 거래가격의 80% 지원,방문신청,자세한 날짜는 시군구청에 따라 다를 수 있음,200000000.0,200000000.0,경기도 해양수산과/031-8008-4547||경상남도 수산정책과/055-211-4015||경상북도 해양수산과/054-880-7733||전라남도 친환경수산과/061-286-6992||인천광역시 수산과/032-440-4862||충청남도 수산자원과/041-635-4135||제주특별자치도 수산정책과/064-710-3217||부산광역시 수산정책과/051-888-5391||전북특별자치도 수산정책과/063-280-2676||강원특별자치도 어업진흥과/033-660-8354,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000024,,,,,제한없음,,,,,,제한없음,,,,,[],"['수산인', '어업인', '어업법인', '생산자단체']","｢수산업ㆍ어촌 발전 기본법｣ 및 ｢농어업경영체 육성 및 지원에 관한 법률｣에서 규정하고 있는 수산인(유통·가공업체), 어업인, 어업법인 및 생산자단체",,서류심사,[],[],"「수산업ㆍ어촌 발전 기본법」및 「농어업경영체 육성 및 지원에 관한 법률」에 따른 수산인, 어업인, 어업법인, 생산자단체로서 수산장비를 구입하고자 하는 자",수산사업자금 집행관리 기본규정 제16조 및 수산사업자금 융자제한 등에 관한 규정 제4조에 따라 지원 제한,전국,[],,,,
119200000027,산지 및 소비지 유통자금 융자 지원,"산지위판장 등을 대상으로 어대금 결제자금, 직거래 자금 등에 대한 융자지원",농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금(융자),"○ 산지위판장 및 수산물 도매시장 어대금 결제자금, 직거래 자금 등 융자지원(금리 1.5~3%)",방문신청,공고일로부터 2주,,,수협중앙회/02-2240-2453||수협중앙회/02-2240-8525||수협은행/061-931-1647,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000027,,,,,제한없음,,,,,,제한없음,,,,,[],"['산지위판장', '도매시장 법인', '중도매인']",,,사업자 선정심의회,[],[],"전년도 수매 실적, 중도매업 종사 경력, 신규 사업자, 소액 신청자 등을 검토",,전국,[],,,,
119200000044,수산경영인회생자금,어려움에 빠진 어업경영체를 대상으로 수산경영회생자금 지원,농림축산어업,해양수산부,중앙행정기관,개인||법인/시설/단체,현금(융자),"○ 수산업경영회생자금 지원(5년 거치, 7년 균분 상환/ 융자금리 1%) - 지원대상자금: 상환기일이 도래하였거나 향후 도래할 수협은행 대출금의 원리금, 어업시설 개·보수 자금, 업종별 1회전 운영자금 등",방문신청,2025.1.1.~2025.12.10.,,,수협은행/02-2240-8521,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000044,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"상환기일이 도래하였거나 향후 도래할 수협은행 대출금의 원리금, 어업시설 개·보수 자금, 업종별 1회전 운영자금 등",수산업경영회생자금 지원 대상,정밀 경영평가,[],[],경영평가위원회의 정밀 경영평가 결과,자금 지원이 결정된 어업인,전국,[],,,,
119200000045,어업경영자금 지원,어업인 및 어업법인을 대상으로 저금리(2.0~3% 또는 변동) 운영자금 지원,농림축산어업,해양수산부,중앙행정기관,개인||법인/시설/단체,현금(융자),○ 어업경영자금 융자(수협은행 및 단위수협),방문신청,연중,,,수협은행/02-2240-8521,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000045,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"어업경영체(어업인, 어업법인 등)",,서류심사,"['농신보 보증서', '개인 신용평가서']","['농신보 보증 금액 확인', '개인 신용도 확인']",대출기관에서 농신보 보증 금액 및 개인 신용도 확인 후 대출 실행 가능여부 검토,"어업경영자금 융자 한도 내에서(개인 10억원, 법인 15억원 한도) 융자 지원",전국,[],,,,
119200000053,TAC 참여어업인 경영개선자금 지원,TAC 참여 어업인에게 경영개선자금 융자지원,농림축산어업,해양수산부,중앙행정기관,개인,현금(융자),"○ TAC 참여 어업인 대상 경영개선자금 지원(융자) - 융자 100% - 고정금리 연 2.5%~3.0%, 변동금리(매월 고시)",방문신청,연중,,,수협은행 수산해양금융부/02-2240-8525,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000053,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"TAC 참여 어업인(단, 제주도 소라 채취 어업인은 및 TAC 참여 1단계 어업인은 제외)",,동일,[],[],지원자의 대상이 지원 대상과 동일해야 함,,전국,[],,,,
119200000055,연안선박 현대화 지원,해운법에 따른 내항운송사업자 등에게 연안선박 건조를 위한 대출이자의 2.0~2.5% 지원,행정·안전,해양수산부,중앙행정기관,법인/시설/단체,현금,"○ 연안 선박 건조를 위한 금융기관 대출이자를 단순 신조인 경우 2.0, 노후선박 대체 또는 친환경선 도입(개조) 인 경우 2.5% 지원",방문신청,사업공모기간중 신청,,,한국해운조합 해운지원팀/02-6096-2034,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000055,,,,,제한없음,,,,,,제한없음,,,,,[],"['해운법 제4조에 따른 내항여객운송사업자', '해운법 제24조에 따른 내항 화물 운송사업자', '해운법 제33조에 따른 선박대여업자']",,,서류심사,[],['연안선박 현대화 이차보전사업 후보자 심사기준'],"해운법상 내항여객운송사업자, 내항화물운송사업자, 선박대여업자 대상",,전국,[],,,,
119200000056,안전복지형 연근해어선 기반구축,노후화된 연근해 어선을 교체하고자 하는 자에게 현대화 어선으로 대체 건조 지원,농림축산어업,해양수산부,중앙행정기관,개인,현금(융자),○ 연근해어업의 허가를 받은 어선 중 선령 15년 이상 노후어선을 어선원 안전복지 및 에너지 절감 등을 고려한 현대화어선으로 대체 건조,방문신청,연초 모집공고에 따름,,,해양수산부 수산정책실 어업자원정책관 어선안전정책과/044-200-5526,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000056,,,,,제한없음,,,,,,제한없음,,취업자,,,[],['어업인'],"연근해어업 허가를 받은 어업인, 연안어업과 구획어업은 차세대 안전복지형 어선개발(R&D) 사업으로 개발된 업종에 한함",,종합평가,[],"['어선 선령', '감톤', '건조형태', '톤수', '소유기간', '자원보호', '기관유형', '재정상태']","합산점수가 높은 순으로 선정하되, 동점자가 발생하는 경우에는 노후어선 선령, 감톤순으로 선정",사업자 선정 기준에 따라 종합적으로 검토,전국,[],,,,
119200000059,어업활동 지원,사고·질병 등으로 어업활동이 곤란한 어가 대상으로 대체인력 채용비용 지원,농림축산어업,해양수산부,중앙행정기관,개인,기타||봉사/기부||현금(감면),"최대 12만원(국비 50%, 지방비 30%, 자부담 20%), 1인당 최대 30일(단, 4대중증질환 및 임심출산가구는 최대60일)",방문신청,상시신청,120000.0,120000.0,부산 수산자원연구소/051-209-0935||인천 수산기술지원센터/032-458-7464||경기 수산자원연구소/031-8008-8363||전북 수산기술연구소/063-290-6961||전남 해양수산과학원/061-550-0656||경북 해양수산과/054-880-7720||경남 수산안전기술원/055-254-3524||제주 수산정책과/064-710-3215,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000059,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],사업 지원 대상자격을 갖춘 어업경영체(신청인 : 어업경영체에 등록된 경영주)로 경영주 및 경영주외 어업인,,서류심사,[],[],"1. 사고·질병, 교육, 임신 등으로 영어활동이 곤란한 어업인
2. 1주일 이상 진단을 받아 요양을 필요로 하는 경우로 병·의원 확인이 있는 경우
3. 3일 이상 입원한 경우
4. 임신부 및 출산 후 3개월이 지나지 않은 경우
5. 최근 3년 이내 4대 중증질환(암, 심장질환(고혈압 제외), 뇌혈관질환, 희귀난치성질환) 진단을 받은 자로 신청일 기준 최근 6개월 이내 통원치료를 받은 경우
6. ‘어업인 교육과정’ 에 참여한 여성어업인(전체 지원한도의 20% 이내, 최종집행기관 기준)임신부 및 출산 후 3개월이 지나지 않은 경우
7. 제1~2급 법정감염병 자가격리자로 보건소 및 의료기관으로부터 통보를 받아 격리중인 경우",,전국,[],,,,
119200000066,어업인 역량 강화 교육 지원,어업인 단체교육이 가능한 기관 등을 대상으로 역량강화 교육 지원,농림축산어업,해양수산부,중앙행정기관,개인,기타(교육),"○ 어업인 혹은 어업인 단체의 역량강화 교육 ○ 여성어업인, 다문화가정 여성어업인 대상 역량 강화 ○ 어업인, 수산업경영인, 해양수산신지식인 대상 역량강화 ○ 어업인 등 국내외 시장개척을 위한 박람회 참가, 벤치마킹, 기술교류 활동, 학술대회 지원",방문신청,매년초 모집공고에 따름,,,해양수산부 소득복지과/044-200-5464,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000066,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],어업인 및 단체의 역량 강화 교육이 가능한 기관 혹은 단체,,서류심사 및 대면 발표 평가,[],[],선정위원회 위원의 평가에 따름,,전국,[],,,,
119200000067,어업인안전조업교육지원,어업인을 대상으로 안전조업 교육 프로그램 지원,행정·안전,해양수산부,중앙행정기관,개인,이용권,"○ ‘어선안전조업법’의 법정교육으로 연 1회(4시간) 어선의 선주, 선장, 기관장, 통신장 등 직무대행자에게 실시하는 안전조업교육 - 어업인 안전조업교육지원을 위한 민간위탁보조 지원",방문신청,연중신청,,,어선안전정책과/044-200-5527||수협중앙회 어선안전조업본부/02-2240-2333,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000067,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],법정의무교육으로 매년 4시간 교육 이수사항,,서류심사,"['서류1', '서류2']",[],"어선의 선주, 선장, 기관장, 통신장 등",,전국,[],,,,
119200000070,창업어가멘토링지원,"어업후계자 및 창업어가에게 1인당 월 60만원 한도로 기술, 경영 교육지도 제공",농림축산어업,해양수산부,중앙행정기관,개인,기타(교육),"○ 후견인이 창업어가에게 기술, 경영 측면 등에 대한 교육 지도 등 제공(창업어가 1인당 월 60만원 한도 지원)",방문신청,매년 초 지자체별 모집공고,600000.0,600000.0,지자체 수산기술보급기관/044-200-5464,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000070,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],어업인 후계자로 선정된 지 5년 이내인자 또는 귀어 후 5개년 이내인 자,당년(이월사업 포함) 귀어 창업자금 지원(예정) 자,서류심사,"['창업일지', '어업인후계자 확인서', '업종분석 보고서', '신분증 사본']","['창업일자', '육성자금 규모', '업종', '연령']","창업일자가 최근인 자 우선 선정, 육성자금 규모가 큰 자 우선, 업종에 따라 우선순위 부여, 연령이 낮은 자 우대",선정 기준에 부합하는 경우 우대 혜택 제공,전국,[],,,,
