service_id,title,purpose_summary,category,org_name,org_type,applicant_type,support_type,apply_method,apply_period,min_amount,max_amount,phone,detail_url,age_min,age_max,age_unit,age_note,age_restriction,income_type,income_percentage,income_amount,income_unit,income_note,income_restriction,target_age_group,target_employment,target_education,target_household,target_special,target_occupation,target_specific_conditions,target_note,selection_method,required_documents,evaluation_criteria,selection_specific_conditions,selection_note,residence_type,specific_regions,residence_duration,residence_duration_unit,residence_specific_conditions,residence_note,support_summary,support_amount_type,support_note
465790,유아학비 (누리과정) 지원,"유치원에 다니는 만 3~5세 아동에게 유아학비, 방과후과정비 등 지원",보육·교육,교육부,중앙행정기관,개인,현금(감면),기타 온라인신청||방문신청,상시신청,50000.0,280000.0,교육부/02-6222-6060||0079에듀콜/1544-0079-5-1,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/000000465790,3.0,5.0,세,,제한없음,,,,,,제한없음,,,,,"['기초생활수급자', '차상위계층', '한부모']",[],"국공립 및 사립유치원에 다니는 3~5세 유아, 22년 1~2월생으로 유치원 입학을 희망하여 3세반에 취원한 유아, 취학대상 아동이 취학을 유예하는 경우, 유예한 1년에 한하여 5세 유아 무상교육비 지원, 저소득층 유아","지원대상에서 제외: 대한민국 국적을 가지지 않은 유아, 가정 양육수당 및 어린이집 보육료를 지원 받고 있는 유아, 유치원 이용시간에 아이돌봄서비스 등과 중복지원 불가, 해외 체류 기간이 31일째 되는 날 유아학비 지원자격 중지. 자격 중지 후 유아학비를 다시 지원받기 위해서는 재신청 필요, 신청 누락으로 발생되는 지원금은 소급지원 되지 않음.",서류심사,[],[],"만 3~5세 아동, 5세 '19.1.1.~'19.12.31., 4세 '20.1.1.~'20.12.31., 3세 '21.1.1.~'22.2.28. 국공립유치원 및 사립유치원 다니는 아동의 보호자","온라인 신청은 부모만 가능하며, 부모 이외의 보호자인 경우에는 담당공무원의 확인이 필요함",전국,[],,,,,,,
105100000001,근로·자녀장려금,"소득과 재산이 적은 근로소득자에게 근로장려금을, 자녀가 있을 경우 자녀장려금 지급",주거·자립,국세청,중앙행정기관,가구,현금,기타 온라인신청,○ 정기신청 : 5.1.~5.31.○ 반기신청 - 상반기분 신청 : 9.1.~9.15. - 하반기분 신청 : 3.1.~3.15.,1000000.0,3300000.0,해당지역 지자체(세무서)/관할 세무서,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/105100000001,18.0,,세,,있음,기타,,100.0,만원,,있음,,취업자,,무관,[],"['근로소득', '사업소득', '종교인소득']","신청요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구로써 신청기간 내 신청하는 경우 근로소득, 사업소득 또는 종교인소득에 따라 산정한 근로장려금과 부양자녀수에 따라 산정한 자녀장려금을 지급",,서류심사,"['가구 소득증빙서류', '재산증빙서류']","['총 소득기준금액 미만', '재산 합계액 2억4천만 원 미만', '가구원 조건 충족 여부']","근로소득, 사업소득 또는 종교인소득이 있는 가구에 한함. 가구 유형에 따라 소득 및 재산 요건을 충족해야 함. 부양자녀, 직계존속 등의 가구원 조건을 고려","대한민국 국적을 보유하지 않은 자, 다른 거주자의 부양자녀, 전문직 사업을 영위하는 자는 신청 불가",특정지역,['해당지역'],,,해당지역 지자체(세무서)/관할 세무서에 거주해야 함,,,,
116010000001,주택금융공사 월세 자금보증,일정요건의 월세대출 대상자에게 월세자금보증을 지원,주거·자립,한국주택금융공사,공공기관,개인,상담/법률지원||현금(융자),방문신청,주택도시기금 주거안정 월세대출 규정에 따름,,,주택금융공사/1688-8114,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/116010000001,35.0,35.0,세,,제한없음,,,,,,제한없음,,,,,[],[],보증금 1억 원 이하 및 월세금 60만 원 이하인 월세 계약을 체결한 주택도시 기금 주거안정 월세대출 대상자,,서류심사,[],[],무주택 세대주로서 특정 대상자에 해당하는 경우에만 지원,,전국,[],,,,,,,
119200000001,친환경 에너지절감장비 보급,"연근해 어업인을 대상으로 노후기관, 장비, 설비를 대체 보급",농림축산어업,해양수산부,중앙행정기관,개인,현금,방문신청,연초 모집공고에 따름,,,해양수산부 수산정책실 어선안전정책과/044-200-5528,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000001,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],"어선의 기관, 고효율 등(燈)(집어등, 작업등) 외 에너지 절감 장비의 대체 또는 설치 희망하는 연근해 허가를 가진 어업인",,서류심사,"['사업계획서', '수요조사 결과']","['전자식 엔진 교체자 우선', '노후화 순으로 선정']","디젤 및 가솔린 지원 비율은 차년도 수요조사 결과에 따라 반영, 노후화는 설치연도 기준으로 판단, 동점자 발생 시 세부수립계획에 따라 선정","기관 교체 시 상위마력으로의 교체는 원칙적으로 불가하며, 단종된 마력의 10% 이하로 상위마력 설치 가능",전국,[],,,,,,,
119200000007,해양사고 국선 심판변론인 선정 지원,해양사고를 입은 사회적 약자에게 국선 심판변론인 선정 및 법률자문 지원,행정·안전,해양수산부,중앙행정기관,개인,기타||상담/법률지원,방문신청,해당사건 접수후,,,해양수산부 중앙해양안전심판원/044-200-6117,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000007,70.0,,세,,있음,중위소득,60.0,,,,있음,,,,,['장애인'],[],사회적 약자에 해당하는 해양사고관련자,,서류심사,[],[],"해양사고관련자가 미성년자이거나 70세 이상이거나 청각 또는 언어장애 및 심신장애의 의심이 있는 경우이거나 중위소득 60%이하인 국민기초생활 수급권자이거나 교육정도가 고졸 이하인 경우이거나 국가유공자, 그유족 또는 가족인 경우",,전국,[],,,,,,,
119200000008,옵서버 승선경비 지원,국제옵서버를 승선시킨 원양선사에 승선경비 및 활동 등을 지원,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금,방문신청,수시,,,한국수산자원공단 TAC관리실/051-718-2482,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000008,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],국제옵서버를 승선시킨 원양선사,,서류심사,"['원양선사 계약서', '국제옵서버 선발 신청서']","['원양선사의 국제옵서버 선발 경험', '선사의 국제옵서버 부담금 납부 이행 여부']",한국수산자원공단에 국제옵서버 일정하여 선사부담급 수납(50%) 및 국제옵서버 승선경비 지급,,전국,[],,,,,,,
119200000010,합작수산물 관세 감면 추진,적법하게 채포한 수산물을 국내로 수입하는 자에게 관세감면,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금(감면),기타 온라인신청,수시,,,해양수산부/044-200-5364,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000010,,,,,제한없음,,,,,,제한없음,,,,,[],[],기획재정부령에서 정한 방법 또는 요건에 적합하게 채포한 수산물을 국내로 수입하는 자,,서류심사,[],[],기획재정부령에 적합하게 수입하는 자,,전국,[],,,,,,,
119200000012,귀어 창업 및 주택구입 지원(융자),귀어업 지원자에 창업 및 주택구입 자금 지원 (융자 후 이자 차이를 지원),농림축산어업,해양수산부,중앙행정기관,개인,현금(융자),방문신청,농어촌지역 전입일로부터 만 5년이내 신청 가능,,,해당지방자치단체 수산 총괄 부서/1899-9597||귀어귀촌 종합센터/1899-9597,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000012,65.0,65.0,세,,없음,,,,,,제한없음,중장년,무관,무관,무관,[],['어업인'],"지원대상자로 선정된 자가 사업(일부완료 또는 완료) 후 담보(신용, 물건)를 제공하고, 금융기관(수협은행)에서 융자를 받으면, 해양수산부에서 이자 차이(기준금리-대출금리 1.5%)를 지원","귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자",심사,[],[],시·도지사(시장·군수·구청장)가 심사를 거쳐 지원대상자로 선발,,농어촌지역,[],5.0,년,전입일로부터 만 5년 이내,,,,
119200000016,원양어업 경영자금 지원,원양어업을 허가받은 자 또는 해외합작 원양어업 신고자를 대상으로 원양어업경영자금 융자 지원,농림축산어업,해양수산부,중앙행정기관,개인||법인/시설/단체,현금,방문신청,"매월 25일까지(단, 공급 규모 소진 시 조기마감 될 수 있음)",,,한국원양산업협회/02-589-1605,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000016,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자 또는 「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자,,서류심사,[],[],「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자 또는 「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자,,전국,[],,,,,,,
119200000022,원양어선안전관리,원양어선 선사에게 노후 원양어선의 대체 및 건조 지원,농림축산어업,해양수산부,중앙행정기관,법인/시설/단체,현금,방문신청,공고에 따름,,,해양수산부 펀드관리기관/02-3210-2032,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/119200000022,,,,,제한없음,,,,,,제한없음,,,,,[],['어업인'],원양산업발전법 제6조에 따른 원양어업허가를 받은 자(원양어업허가의 유예를 받은 자 포함),,심의,[],"['원양어선 노후화 정도', '사업 계획']",투자심의위원회의 심의로 선정,,전국,[],,,,,,,
