서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
유아학비 (누리과정) 지원,"○ 3~5세에 대해 교육비를 지급합니다.
- 국공립 100,000원, 사립 280,000원
○ 3~5세에 대해 방과후과정비를 지급합니다.
- 국공립 50,000원, 사립 70,000원
○ 사립유치원을 다니는 법정저소득층 유아에게 저소득층 유아학비를 추가 지급합니다.
- 사립 200,000원",상시신청,교육부/02-6222-6060||0079에듀콜/1544-0079-5-1,"○ 유아의 보호자가 가까운 읍면동 주민센터 방문 또는 인터넷을 이용하여 온라인 신청 (복지로 http://www.bokjiro.go.kr) 이 가능합니다.
- 주의: 온라인 신청은 부모만 가능
※ 부모 이외의 보호자인 경우(자녀의 친권자 또는 후견인 보호자, 조부모, 사회복지시설장 등) 등 담당공무원의 확인이 필요한 경우는 온라인으로 신청하실수 없으므로 불편하시더라도 읍면동 주민센터(주소지 시군구)에서 신청하시기 바랍니다.
○ 신청 후 학부모 인증 신청에 따라 교육청에서 유치원으로 지원금액이 입금됩니다.
※ 기존에 보육료, 양육수당 등 다른 복지서비스의 지원 자격을 보유하고 있는 경우에는 반드시 유아학비로 변경 신청해야 지원 가능하며, 소급지원 불가
※ 신청일 기준으로 지급, 유아학비 신청과 동시에 보육료 즉시 지원 중단되며, 양육수당은 변경신청일 기준에 따라 지원 중단됨.",주민센터,현금(감면),"○ 지원대상 : 국공립 및 사립유치원에 다니는 3~5세 유아
- '22년 1~2월생으로 유치원 입학을 희망하여 3세반에 취원한 유아도 지원 대상
- 취학대상 아동('18.1.1~12.31.출생)이 취학을 유예하는 경우, 유예한 1년에 한하여 5세 유아 무상교육비 지원(취학유예 통지서 제출)
※ 단, 지원기간은 3년을 초과할 수 없음.
○ 추가지원 : 저소득층 유아(유아학비 지원 대상 자격이 있고, 사립유치원에 다니는 법정저소득층(기초생활수급자, 차상위계층, 한부모 가정) 유아)
○ 아래의 경우 지원대상에서 제외
- 대한민국 국적을 가지지 않은 유아(난민 및 「재한외국인 처우 기본법」에 따라 법무부장관이 인정한 '특별기여자 등'은 예외적으로 인정)
- 가정 양육수당 및 어린이집 보육료를 지원 받고 있는 유아
- 유치원 이용시간에 아이돌봄서비스 등과 중복지원 불가
- 해외 체류 기간이 31일째 되는 날 유아학비 지원자격 중지
○ 자격 중지 후 유아학비를 다시 지원받기 위해서는 재신청 필요, 신청 누락으로 발생되는 지원금은 소급지원 되지 않음.","※ 2025. 3. 1~2026.2.28. 까지 적용
○ 지원대상 : 국공립유치원 및 사립유치원에 다니는 만 3~5세 아동
5세 '19.1.1.~'19.12.31.
4세 '20.1.1.~'20.12.31.
3세 '21.1.1.~'22.2.28.
○ 신청인 : 아동의 보호자
○ 신청장소 : 온라인 신청 (복지로 복지사업서비스 (www.bokjiro.go.kr) ) 및 읍면동 주민센터(아동 주민등록 주소지)
- 주의: 온라인 신청은 부모만 가능
※ 부모 이외의 보호자인 경우(자녀의 친권자 또는 후견인 보호자, 조부모, 사회복지시설장 등) 등 담당공무원의 확인이 필요한 경우는 온라인으로 신청하실수 없으므로 불편하시더라도 읍면동 주민센터(주소지 시군구)에서 신청하시기 바랍니다.",https://www.bokjiro.go.kr,"- 사회복지서비스 및 급여제공(변경) 신청서
- 사회복지서비스 이용권(바우처) 제공(변경) 신청서
- 아이사랑 카드발급 신청 및 개인신용정보의 조회·제공·이용 동의서","['유아학비', '저소득층', '유치원', '교육비', '지원대상', '3~5세', '취학유예']"
근로·자녀장려금,"○ 전년도 연간 부부합산 총 급여액 등(근로소득, 사업소득 또는 종교인소득의 합계)에 따라
- 근로장려금은
ㆍ 단독가구 최대 165만 원
ㆍ 홑벌이 가구 최대 285만 원
ㆍ 맞벌이 가구 최대 330만 원 지급
- 자녀 장려금은
ㆍ 단독가구 해당 없음
ㆍ 홑벌이 가구 부양자녀 1명 당 최대 100만 원
ㆍ 맞벌이 가구 부양자녀 1명 당 최대 100만 원 지급
* 자세한 산정식은 홈택스(www.hometax.go.kr)에서 확인 바랍니다",○ 정기신청 : 5.1.~5.31.○ 반기신청 - 상반기분 신청 : 9.1.~9.15. - 하반기분 신청 : 3.1.~3.15.,해당지역 지자체(세무서)/관할 세무서,"○ 개별 신청 안내받은 경우에는 ARS 1544-9944, 홈택스(모바일,PC), 서면 신청 가능
○ 개별 신청 안내받지 않은 경우에는 홈택스(모바일,PC), 서면 신청 가능",관할 세무서,현금,"○ 신청요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구로써 신청기간 내 신청하는 경우 근로소득, 사업소득 또는 종교인소득에 따라 산정한 근로장려금과 부양자녀수에 따라 산정한 자녀장려금을 지급","○ 아래 요건을 모두 충족하는 근로소득, 사업소득 또는 종교인소득이 있는 가구
- 소득요건 : 전년도 부부합산 연간 총소득이 가구 유형에 따라 정한 총 소득기준금액 미만일 것
(근로장려금)
ㆍ 단독가구 : 2,200만 원 미만
ㆍ 홑벌이 가구 : 3,200만 원 미만
ㆍ 맞벌이 가구 : 4,400만 원 미만
(자녀장려금)
ㆍ 7,000만 원 미만
- 재산요건
ㆍ 전년도 6월 1일 현재, 가구원 전체의 재산 합계액이 2억4천만 원 미만일 것
- 가구요건
ㆍ 단독가구 : 배우자1), 부양자녀2), 70세 이상 직계존속3)이 모두 없는 가구
ㆍ 홑벌이가구 : 배우자 또는 부양자녀 또는 70세 이상 직계존속이 있는 가구(배우자가 있는 경우에는 신청인 또는 배우자의 총급여액 등이 3백만원 미만이어야 함)
ㆍ 맞벌이가구 : 신청인과 배우자 각각의 총급여액 등이 3백만원 이상인 가구
1) 배우자 : 법률상 배우자(사실혼 제외)
2) 부양자녀 : (18세 미만) and (연간소득금액 100만원 이하)
3) 직계존속 : (70세 이상) and (연간소득금액 100만원 이하) and (주민등록 동거 및 부양)
*부양자녀 및 직계존속 중 동일주소 거주하거나, 질병 등으로 일시퇴거한 중증장애인은 연령 제한 없음
위 요건을 모두 충족하는 경우에도 아래 유형에 해당하는 경우 신청할 수 없음
-전년도 12.31.현재 대한민국 국적을 보유하지 아니한 자
(대한민국 국적을 보유한 자와 혼인한 자, 대한민국 국적의 부양자녀가 있는 자는 신청할 수 있음)
-전년도 중 다른 거주자의 부양자녀인 자
-전문직 사업을 영위하는 자(그 배우자 포함)
※ 총소득과 총급여액 등 비교
- 총소득
ㆍ 근로, 사업, 종교인, 기타, 이자, 배당, 연금소득의 합계금액(부부합산)
ㆍ 신청자격 중 소득요건(가구 유형별 기준금액) 판정기준
- 총급여액 등
ㆍ 근로, 사업, 종교인 소득의 합계금액(부부합산)
ㆍ 장려금 지급액을 산정·결정하는 기준
ㆍ 총급여액 등에서 제외되는 소득 : 비과세 소득, 본인 및 배우자의 직계존비속에게 받은 근로소득 및 사업소득, 사업자등록 없는 자의 사업소득, 사업자등록 없는 자에게 받은 근로소득, 인정상여 근로소득(법인세법 제67조에 의한 소득처분)
* 자세한 신청요건은 국세청 홈택스(www.hometax.go.kr)에서 확인 바랍니다",https://www.hometax.go.kr,"○ 소득재산 등 증거자료 제출 불필요한 경우 : 국세청에서 확인한 소득, 재산 등의 자료와 동일한 경우
○ 소득재산 등 증거자료 제출 필요한 경우 : 국세청에서 확인한 소득, 재산 등의 자료와 다른 경우","['근로·자녀장려금', '근로장려금', '자녀장려금', '부양자녀', '가구', '신청요건', '산정식']"
주택금융공사 월세자금보증,"○ 주택도시기금 주거안정 월세대출 요건을 충족하는 대상자에 대해 월세자금보증 지원
- 최대 1,152만원 이내에서 월세금을 2년 환산한 금액의 80%까지 대출금액의 80%를 공사가 보증",주택도시기금 주거안정 월세대출 규정에 따름,한국주택금융공사/1688-8114,"○ 공사와 업무위탁계약이 체결된 은행에서 상담받으신 후 보증신청
- 계약체결은행 : 국민, 광주, 기업, 농협, 아이엠뱅크, 수협, 신한, 하나, 우리, 부산, 경남, 전북, 제주은행, 케이뱅크, 카카오뱅크, 토스뱅크 등
- 주택도시기금 대출의 경우 국민, 농협, 신한, 우리, 하나, 부산, 아이엠뱅크
* 단, 은행 사정에 따라 은행 및 지점별로 취급여부가 상이할 수 있습니다.",금융기관(은행),기타,"○ 보증금 1억원 이하 및 월세금 60만원 이하인 월세 계약을 체결한 주택도시 기금 주거안정 월세대출 대상자
[우대형]
- 취업준비생(신청일 현재 만 35세 이하의 무소득자이며 부모 소득이 6천만원 이하인 자)
- 희망키움통장 가입자
- 신청일 기준 최근 1년 이내 수급사실이 인정되는 근로장려금 수급자
- 취업 후 5년 이내인 사회초년생으로 신청일 현재 만 35세 이하이며 부부합산 연소득 4천만원 이하인 자
- 신청일 기준 최근 1년 이내 수급사실이 인정되는 자녀장려금 수급자
- 신청일 현재 주거급여 수급자 확인서가 발급되는 주거급여 수급자
[일반형]
- 부부합산 연소득 5천만원 이하자 중 상기 [우대형]에 해당되지 않는 자",,,"주민등록등본, 신분증, 확정일자부 월세 계약서 사본, 계약금 지급 영수증, 등기사항전부증명서, 최종학교 졸업증명서, 희망키움통장 유지확인서 등 대상에 따라 추가서류 필요","['주거안정', '대출', '청년', '저소득층', '신혼부부']"
친환경 에너지절감장비 보급,"○ 고효율 등(燈)(LED, 무전극등(燈) 등)
○ 노후화된 기관(디젤, 가솔린기관 등)
○ 에너지 절감이 가능한 유류절감장치
○ 대기오염 방지 및 탄소배출 절감이 가능한 매연저감장치 등",연초 모집공고에 따름,해양수산부 수산정책실 어선안전정책과/044-200-5528,해당 지자체(시군구청)에 방문하여 신청,시·군·구청,현금,"○ 어선의 기관, 고효율 등(燈)(집어등, 작업등) 외 에너지 절감 장비의 대체 또는 설치 희망하는 연근해 허가를 가진 어업인","○ 우선순위
가. 1순위 : 고효율등(燈) 및 유류절감장치 등
나. 2순위 : 디젤기관 및 가솔린기관
- 자체 사업계획 수립 시 지자체별 차년도 수요조사 결과를 반영하여 디젤 및 가솔린 지원 비율 배정하여 사업자 선정
- (디젤기관) ①전자식 엔진 교체자, ②노후화 순으로 선정
- (가솔린기관) 노후화 순으로 선정
※ 노후화는 기관의 생산연도가 아닌 설치연도를 기준으로 판단
- 추가 동점자 발생시 지자체 세부수립계획에 따라 선정하고 사업자 최종 선정 이후 집행잔액 등이 발생할 경우 우선순위 변경하여 선정 가능
※ 유의사항(공통) : 기관 교체 시 상위마력으로의 교체는 원칙적으로 불가하나, 기존 설치된 기관 마력이 단종될 경우에는 허용범위 10% 이하로 상위마력 설치 가능
* (예시) 316마력 단종시 320마력 기관 설치(기존 마력과의 허용마력 내 최소치 적용)
** 마력 상향시 사업담당자는 기자재 단가표를 확인하여 동일 마력 제품 설치 가능 여부 확인",,"사업신청서, 어업허가 일건서류(어업허가증, 어선검사증 등), 어업경영체 등록 확인서 등","['에너지절감장비', '어선', '어업인', 'LED', '유류절감장치', '대기오염방지', '탄소배출']"
해양사고 국선 심판변론인 선정 지원,"○ 해양사고관련자가 심판원에 대하여 하는 신청ㆍ청구ㆍ진술 등의 대리 또는 대행
○ 해양사고관련자에 대하여 하는 해양사고와 관련된 기술적 자문",해당사건 접수후,해양수산부 중앙해양안전심판원/044-200-6117,"우편접수
ㅇ 중앙해양안전심판원 : 세종시 가름로232 세종비즈니스센터 A동 521호(30121)
ㅇ 부산지방해양안전심판원 : 부산광역시 동구 충장대로 351(48755)
ㅇ 인천지방해양안전심판원 : 인천광역시 미추홀구 석정로239, 8층(22101)
ㅇ 목포지방해양안전심판원 : 전남 목포시 통일대로 130(58746)
ㅇ 동해지방해양안전심판원 : 강원도 동해시 한섬로 141-1(25769)",관할지방해양안전심판원 심판관실,기타,"○ 사회적 약자(연령, 장애, 빈곤, 교육정도 등)에 해당하는 해양사고관련자","○ 다음 각각 호의 어느 하나에 해당하는 경우로서 심판변론인이 없는 때
○ 국선 심판변론인 선정 기준
- 해양사고관련자가 미성년자인 경우
- 해양사고관련자가 70세 이상인 경우
- 해양사고관련자가 청각 또는 언어장애 및 심신장애의 의심이 있는 경우
- 중위소득(4인가구 기준) 60%이하, 국민기초생활 수급권자
- 교육정도(고졸 이하)
- 국가유공자, 그유족 또는 가족",,"○ 선정대상임을 증명하는 서류
- 「해양사고의 조사 및 심판에 관한 법률 시행규칙」 제17조제1항에 따른 사유","['장애인', '저소득층', '해양사고', '대리대행', '기술적자문']"
옵서버 승선경비 지원,○ 원양어선에 승선하여 활동하는 국제옵서버 승선경비 및 활동 지원,수시,한국수산자원공단 TAC관리실/051-718-2482,우편 또는 방문 접수(부산광역시 기장군 일광면 이동길 4 한국수산자원공단),한국수산자원공단,현금,○ 국제옵서버를 승선시킨 원양선사,"○ 국제옵서버를 승선시킨 원양선사
1) 한국수산자원공단에 국제옵서버 일정하여 선사부담급 수납(50%)
2) 한국수산자원공단은 국고 부담분(50%)과 선사 부담분(50%)으로 국제옵서버 승선경비 지급",,"ㅇ 신청인 제출서류
- 옵서버 승선일수 확인 서류","['국제옵서버', '승선경비', '원양선사', '활동지원']"
합작수산물 관세 감면 추진,○ 관세감면,수시,해양수산부/044-200-5364,"○ 해외합작법인(총지분 49%이상 확보)으로 원양어업을 하기 위하여 해양수산부장관에게 신고를 한 자가 허가받은 어선(생산수단)을 투입하여 해외합작법인이 포획한 수산물(불가피한 경우 해외합작법인의 계산과 책임으로 합작상대국 어업자를 통하여 포획한 경우 포함)을 직접 국내로 수출할 때 우리 부에서 추천한 물량에 한해 신청이 가능함
○ 관세감면 조건을 충족하여 우리부에서 관세감면 물량을 배정 받은 경우 관세감면 추천 신청 시에는 합작어획물 유무 확인을 위해 “관세감면추천신청서”에 다음의 서류를 첨부하여 민원24사이트를 통해 신청서 제출
- 본선 인수증(Mate's Receipt)
- 선하증권(Bill of Lading)
- 쿼터확보 내용(쿼터제도를 운용하는 국가에서 수입하는 합작수산물에 한함)
- 물품매도확인서(OFFER SHEET)
- 전재 보고서(DAILY CATCH REPORT)
- 기타 합작수산물 해당 여부 확인에 필요한 서류
○ 해외합작 원양어업자가 새로운 합작사업을 시작하였거나 새로운 생산수단을 투입하였을 경우에는 합작사업 증빙 서류 제출
- 해외합작법인에 대한 영업허가서
- 해외현지법인(제5조의 생산수단)에 대한 어업허가서
- 합작국의 사업자에게 발행한 외국인 투자허가서(신고 수리서, 승인서 또는 공문서 등 포함)
- 기타 실제 조업 확인에 필요한 서류",해양수산부,현금(감면),○ 기획재정부령에서 정한 방법 또는 요건에 적합하게 채포한 수산물을 국내로 수입하는 자,○ 기획재정부령에 적합하게 수입하는 자,www.minwon.go.kr,"○ 신청인 제출서류
“관세감면추천신청서""
1. 본선 인수증(Mate's Receipt)
2. 선하증권(Bill of Lading)
3. 쿼터확보 내용(쿼터제도를 운용하는 국가에서 수입하는 합작수산물에 한함)
4. 물품매도확인서(OFFER SHEET)
5. 전재 보고서(DAILY CATCH REPORT)
6. 기타 합작수산물 해당 여부 확인에 필요한 서류","['수산물', '관세 감면', '수입', '청년', '창업지원']"
귀어 창업 및 주택구입 지원(융자),"○ 지원대상자로 선정된 자가 사업(일부완료 또는 완료) 후 담보(신용, 물건)를 제공하고, 금융기관(수협은행)에서 융자를 받으면, 해양수산부에서 이자 차이(기준금리-대출금리 1.5%)를 지원",농어촌지역 전입일로부터 만 5년이내 신청 가능,해당지방자치단체 수산 총괄 부서/1899-9597||귀어귀촌 종합센터/1899-9597,시군구청에 방문하여 신청,시·군·구청,현금(융자),"○ 귀어업인(희망자 포함) 및 재촌비어업인으로서, 사업신청 연도기준 만 65세 이하인 자",○ 사업대상자 및 지원자격 요건을 갖춘 자 중에서 시·도지사(시장·군수·구청장)가 심사를 거쳐 지원대상자로 선발한 자,,귀어업인·재촌비어업인 창업자금 및 주택마련지원 신청서,"['창업지원', '대출', '저소득층', '신혼부부', '귀어업인', '주택구입', '융자']"
원양어업 경영자금 지원,○ 어업경영자금 융자(수협은행 및 일선수협),"매월 25일까지(단, 공급 규모 소진 시 조기마감 될 수 있음) ",한국원양산업협회/02-589-1605,"○ 우편접수(서울특별시 서초구 논현로 83 한국원양산업협회)
○ 사업시행지침 시달(해수부) → 세부시행계획 보고 및 통보(원양협회) → 신청서 작성(사업자) → 신청서 접수(원양협회) → 운영위원회 심사(원양협회) → 사업자 통보(원양협회→수협중앙회)→여신심사(수협중앙회)→대출실행(수협중앙회)
○ 사업문의 : 한국원양산업협회 02-589-1605, 1607
해양수산부 원양산업과 044-200-5362",한국원양산업협회,현금,"1.「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자
2.「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자","1.「원양어업발전법」제6조제1항에 따른 원양어업허가를 받은 자
2.「원양어업발전법」제6조제7항에 따른 외국인과 합작하여 설립한 해외현지법인으로 원양어업 신고를 한 자",,"1.원양어업경영자금 신청서
2. (금리2%신청 시) CTA협정 대비 또는 선박안전 확보관련 선박 수리·개조사항 서식 1부 및 증빙서류 일체
3. (대상선박) 어업허가증 또는 해외합작원양어선 신고확인증 사본
4. (필요 시) 그 외 요청하는 서류","['대출', '창업지원', '저소득층']"
원양어선안전관리,○ 원양어선의 안전성 확보와 어선원 복지 증진을 위해 안전펀드를 조성하여 노후 원양어선의 대체 및 건조를 지원,공고에 따름,해양수산부 펀드관리기관/02-3210-2032,온라인 신청,해양수산부,현금,○ ｢원양산업발전법｣ 제6조에 따른 원양어업허가를 받은 자(원양어업허가의 유예를 받은 자 포함),"○ 원양어선 노후화 정도, 사업 계획 등 선정기준에 따라 투자심의위원회의 심의로 선정",,공고에 명시된 서류(사업계획 등),"['원양어선안전관리', '어선원 복지', '안전펀드', '원양어선 대체', '건조 지원']"
